Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-01-01,TCS,EQ,2172.05,2180.1,2184.5,2151.1,2153.7,2153.3,2159.55,264976,5.72E+13,15040,105354,0.3976
2014-01-02,TCS,EQ,2153.3,2166,2189,2156.15,2167.95,2167,2170.96,863474,1.87E+14,60050,550431,0.6375
2014-01-03,TCS,EQ,2167,2164.7,2229.1,2147.25,2224.1,2222.2,2206.7,1309087,2.89E+14,84697,660519,0.5046
2014-01-06,TCS,EQ,2222.2,2229,2244,2197,2234.8,2239.6,2224.18,1155905,2.57E+14,75432,685611,0.5931
2014-01-07,TCS,EQ,2239.6,2240,2256.45,2199,2207.9,2206.15,2227.87,1448743,3.23E+14,62312,891246,0.6152
2014-01-08,TCS,EQ,2206.15,2212,2244,2210,2229.95,2232.65,2230.54,1275010,2.84E+14,98989,885134,0.6942
2014-01-09,TCS,EQ,2232.65,2228.75,2255.5,2222.1,2239,2241.95,2239.21,1291103,2.89E+14,65056,951806,0.7372
2014-01-10,TCS,EQ,2241.95,2260,2309.8,2235,2290,2280.9,2277.05,1684667,3.84E+14,114749,919520,0.5458
2014-01-13,TCS,EQ,2280.9,2285,2384,2285,2380,2368.75,2345.06,1907158,4.47E+14,98245,1205443,0.6321
2014-01-14,TCS,EQ,2368.75,2372,2384.8,2320,2330,2326.75,2339,1487482,3.48E+14,80128,923510,0.6209
2014-01-15,TCS,EQ,2326.75,2342.45,2378.2,2327,2361,2353.6,2353.56,1524427,3.59E+14,96472,946527,0.6209
2014-01-16,TCS,EQ,2353.6,2380,2380.1,2325,2359,2350.3,2348.09,1498981,3.52E+14,71105,780159,0.5205
2014-01-17,TCS,EQ,2350.3,2298,2298,2206.05,2219.85,2213.05,2243.52,3782378,8.49E+14,175551,1795473,0.4747
2014-01-20,TCS,EQ,2213.05,2218.95,2350,2215.5,2334.9,2338.2,2297.8,3005279,6.91E+14,117743,1466375,0.4879
2014-01-21,TCS,EQ,2338.2,2334,2339.25,2275.1,2285.25,2280.3,2296.99,1566141,3.60E+14,80762,648210,0.4139
2014-01-22,TCS,EQ,2280.3,2287.1,2296.85,2264.1,2270.35,2274.05,2278.77,1192015,2.72E+14,46033,678030,0.5688
2014-01-23,TCS,EQ,2274.05,2268.1,2276.7,2237.3,2254.15,2252.45,2255.27,1145381,2.58E+14,76521,630085,0.5501
2014-01-24,TCS,EQ,2252.45,2244,2283.25,2235,2249,2248.7,2265,925133,2.10E+14,47071,439013,0.4745
2014-01-27,TCS,EQ,2248.7,2226,2259.5,2220.1,2237,2229.6,2238.52,1266474,2.84E+14,66877,746905,0.5898
2014-01-28,TCS,EQ,2229.6,2232,2247.85,2196.1,2215,2212.35,2218.54,1426083,3.16E+14,86501,1007345,0.7064
2014-01-29,TCS,EQ,2212.35,2240,2240,2205,2213.05,2209.8,2218.34,849038,1.88E+14,71191,537879,0.6335
2014-01-30,TCS,EQ,2209.8,2198.05,2227,2190,2222.25,2217.6,2203.42,1112625,2.45E+14,55368,711029,0.6391
2014-01-31,TCS,EQ,2217.6,2225.1,2269.8,2221,2230.95,2241.05,2252.12,1087123,2.45E+14,50891,630268,0.5798
2014-02-03,TCS,EQ,2241.05,2222,2244.25,2190.8,2192.7,2194.45,2205.35,681240,1.50E+14,42400,473787,0.6955
2014-02-04,TCS,EQ,2194.45,2174,2175,2112.05,2162,2151.35,2142.57,1347083,2.89E+14,104256,803065,0.5962
2014-02-05,TCS,EQ,2151.35,2163.8,2200,2140,2196.25,2194.4,2172.56,926825,2.01E+14,70158,445505,0.4807
2014-02-06,TCS,EQ,2194.4,2180,2189.9,2145,2169.6,2175.25,2169.33,961326,2.09E+14,69578,559364,0.5819
2014-02-07,TCS,EQ,2175.25,2190,2195,2131,2142.9,2144.4,2157.53,995456,2.15E+14,59579,569008,0.5716
2014-02-10,TCS,EQ,2144.4,2144,2144,2085.1,2092.55,2093.55,2105.79,2009635,4.23E+14,97216,1459488,0.7262
2014-02-11,TCS,EQ,2093.55,2100,2126.5,2096,2100,2101.7,2111.34,1784393,3.77E+14,74292,1177759,0.66
2014-02-12,TCS,EQ,2101.7,2118,2123.6,2095,2098.8,2105.45,2111.78,1537174,3.25E+14,66032,1142769,0.7434
2014-02-13,TCS,EQ,2105.45,2107,2138.4,2096.5,2137.9,2133.75,2124.79,1047175,2.23E+14,57108,611932,0.5844
2014-02-14,TCS,EQ,2133.75,2137.9,2184.75,2128.1,2163.5,2167.9,2163.59,955031,2.07E+14,60246,470677,0.4928
2014-02-17,TCS,EQ,2167.9,2160,2186,2147.2,2164.7,2165.4,2167.34,835197,1.81E+14,51337,461048,0.552
2014-02-18,TCS,EQ,2165.4,2165,2191,2155.85,2161.1,2166,2175.97,763458,1.66E+14,32619,417389,0.5467
2014-02-19,TCS,EQ,2166,2170,2215,2162.25,2213,2197.95,2184.6,536459,1.17E+14,31535,258545,0.4819
2014-02-20,TCS,EQ,2197.95,2206,2222,2182.8,2188.2,2189.35,2204.13,793962,1.75E+14,41964,360588,0.4542
2014-02-21,TCS,EQ,2189.35,2198,2213,2190.75,2203,2205.7,2204.58,858930,1.89E+14,40864,578590,0.6736
2014-02-24,TCS,EQ,2205.7,2204,2205.25,2170.1,2177.95,2177.9,2177.98,1225212,2.67E+14,56310,959555,0.7832
2014-02-25,TCS,EQ,2177.9,2189,2199.5,2180,2186.8,2188.9,2191.44,1652687,3.62E+14,57752,1357237,0.8212
2014-02-26,TCS,EQ,2188.9,2194,2195,2177.15,2183.95,2182.15,2183.49,1929856,4.21E+14,56611,1395746,0.7232
2014-02-28,TCS,EQ,2182.15,2161,2280,2160.15,2271.85,2275.75,2252.83,1994096,4.49E+14,97485,1223824,0.6137
2014-03-03,TCS,EQ,2275.75,2271.8,2299,2228,2232.15,2240.05,2256.85,803039,1.81E+14,63157,401949,0.5005
2014-03-04,TCS,EQ,2240.05,2233.2,2254,2224,2240.2,2240.65,2240.39,1015166,2.27E+14,103475,709579,0.699
2014-03-05,TCS,EQ,2240.65,2254.85,2286.25,2242.55,2247.15,2251.9,2259.93,1151003,2.60E+14,68806,627992,0.5456
2014-03-06,TCS,EQ,2251.9,2252.85,2260,2232.15,2240,2240.75,2241.63,657281,1.47E+14,63025,416386,0.6335
2014-03-07,TCS,EQ,2240.75,2245.5,2250.05,2152.8,2225.05,2228.5,2198.55,2349236,5.16E+14,147864,1571810,0.6691
2014-03-10,TCS,EQ,2228.5,2228.1,2228.5,2135,2145,2142.65,2161.27,1914884,4.14E+14,106548,1303557,0.6807
2014-03-11,TCS,EQ,2142.65,2155,2177.65,2122,2155.1,2151.65,2152.19,1275127,2.74E+14,83897,682073,0.5349
2014-03-12,TCS,EQ,2151.65,2153,2189.75,2153,2177.05,2179.45,2175.53,834894,1.82E+14,56238,458386,0.549
2014-03-13,TCS,EQ,2179.45,2148.05,2202,2136.85,2146.7,2149.55,2171.93,1009942,2.19E+14,49204,525601,0.5204
2014-03-14,TCS,EQ,2149.55,2141,2160.5,2124.3,2138,2139.55,2141.66,1080623,2.31E+14,92521,757794,0.7013
2014-03-18,TCS,EQ,2139.55,2135.5,2151.8,2104.25,2113.95,2122,2127.74,1282921,2.73E+14,93915,851297,0.6636
2014-03-19,TCS,EQ,2122,2075,2075,2013.05,2037.8,2039.4,2033.69,4326331,8.80E+14,222327,2991834,0.6915
2014-03-20,TCS,EQ,2039.4,2038,2122.9,2011.4,2107,2108.2,2080,2864478,5.96E+14,141643,1414310,0.4937
2014-03-21,TCS,EQ,2108.2,2125,2145,2085,2126,2127,2117.7,2340388,4.96E+14,125422,1301935,0.5563
2014-03-22,TCS,EQ,2127,2125,2141.9,2115.45,2123.25,2128.25,2131.53,94751,2.02E+13,5439,20095,0.2121
2014-03-24,TCS,EQ,2128.25,2136.95,2157.95,2126.15,2149.95,2152.6,2143.45,1091507,2.34E+14,78333,554003,0.5076
2014-03-25,TCS,EQ,2152.6,2144,2172,2130,2145.2,2146.65,2149.75,1124984,2.42E+14,57258,654409,0.5817
2014-03-26,TCS,EQ,2146.65,2148.05,2158.5,2087.55,2100,2093.5,2112.06,1596175,3.37E+14,95062,1041368,0.6524
2014-03-27,TCS,EQ,2093.5,2100.95,2115,2065.05,2105,2094.25,2087.43,2506238,5.23E+14,97717,1619786,0.6463
2014-03-28,TCS,EQ,2094.25,2097,2122.85,2080.05,2100.3,2102.1,2100.8,1485581,3.12E+14,100066,858824,0.5781
2014-03-31,TCS,EQ,2102.1,2104,2144.95,2082,2139,2133.15,2112.44,1341634,2.83E+14,80904,867522,0.6466
2014-04-01,TCS,EQ,2133.15,2145,2185,2144.9,2175.4,2176.7,2172.74,1377966,2.99E+14,66536,874657,0.6347
2014-04-02,TCS,EQ,2176.7,2190,2202,2161.05,2164.95,2172.25,2184.42,1881508,4.11E+14,150867,1379843,0.7334
2014-04-03,TCS,EQ,2172.25,2172.85,2182,2147.6,2170,2166.5,2162.25,790597,1.71E+14,66632,381238,0.4822
2014-04-04,TCS,EQ,2166.5,2172,2187,2130,2138,2138.85,2156.61,847328,1.83E+14,50443,444099,0.5241
2014-04-07,TCS,EQ,2138.85,2130.1,2165.95,2120.7,2159.75,2153.8,2141.77,1297493,2.78E+14,102241,844896,0.6512
2014-04-09,TCS,EQ,2153.8,2152,2162,2105,2135,2140.4,2127,1675250,3.56E+14,105908,1197102,0.7146
2014-04-10,TCS,EQ,2140.4,2140.4,2148.65,2115.2,2125,2126.15,2129.05,1076443,2.29E+14,66534,707569,0.6573
2014-04-11,TCS,EQ,2126.15,2118,2174.9,2100,2161.5,2164.1,2134.3,1170371,2.50E+14,57660,568591,0.4858
2014-04-15,TCS,EQ,2164.1,2181,2258,2174.05,2254.5,2252.75,2220.31,1798622,3.99E+14,125731,886241,0.4927
2014-04-16,TCS,EQ,2252.75,2264,2264,2184.2,2187.95,2196.3,2208.56,1737955,3.84E+14,87315,841115,0.484
2014-04-17,TCS,EQ,2196.3,2220,2227,2142.7,2223.4,2222.9,2204.45,3840719,8.47E+14,146274,1712091,0.4458
2014-04-21,TCS,EQ,2222.9,2220,2242.9,2211.3,2219.95,2221.75,2223.82,921297,2.05E+14,46253,469228,0.5093
2014-04-22,TCS,EQ,2221.75,2233.95,2249.9,2219.9,2222.4,2221.05,2227.32,743137,1.66E+14,51736,426549,0.574
2014-04-23,TCS,EQ,2221.05,2231.4,2243.9,2201.1,2210,2213.75,2217.79,969496,2.15E+14,55240,586941,0.6054
2014-04-25,TCS,EQ,2213.75,2227,2235,2193.2,2203.85,2205.25,2203.67,1580224,3.48E+14,81051,1157391,0.7324
2014-04-28,TCS,EQ,2205.25,2205.25,2222.7,2180.1,2186.65,2191.35,2195.43,1275383,2.80E+14,81405,900404,0.706
2014-04-29,TCS,EQ,2191.35,2186,2206.35,2176.9,2195,2194.25,2195.06,923090,2.03E+14,67577,641624,0.6951
2014-04-30,TCS,EQ,2194.25,2185.1,2205.6,2181,2191,2189.2,2190.56,1198689,2.63E+14,70291,960888,0.8016
2014-05-02,TCS,EQ,2189.2,2181.25,2219.9,2181.25,2208.45,2208.45,2207.37,958889,2.12E+14,48854,640030,0.6675
2014-05-05,TCS,EQ,2208.45,2210.8,2229,2204.15,2209.6,2213.7,2220.64,657239,1.46E+14,50891,433454,0.6595
2014-05-06,TCS,EQ,2213.7,2213.7,2221.6,2190,2199.5,2198.9,2198.17,480616,1.06E+14,50253,330069,0.6868
2014-05-07,TCS,EQ,2198.9,2191.05,2203,2140.1,2165,2165.55,2165.69,2358091,5.11E+14,81592,2013398,0.8538
2014-05-08,TCS,EQ,2165.55,2165.1,2181.8,2147.65,2155,2162.05,2160.74,1303450,2.82E+14,57679,981809,0.7532
